Category,Command,Purpose,Syntax,Option,Description
File Manipulation,rm,The rm command removes files or directories to free up storage space and organize the file system.,rm [options] [file|dir path],-r,"Recursive deletion, which removes directories and their contents, including subdirectories and files within them. Use this option to delete a directory and everything inside it."
File Manipulation,rm,The rm command removes files or directories to free up storage space and organize the file system.,rm [options] [file|dir path],-f,"Forcefully remove files and directories without asking for confirmation, even if they are write-protected or otherwise restricted. It suppresses most error messages that would typically prompt for confirmation."
File Manipulation,mkdir,"The mkdir command creates a new, empty directory. mkdir also allows users to set permissions, create multiple directories at once, and much more. The tool is handy when setting up a new project structure or when you need to create nested directories to maintain a well-organized file system.",mkdir [options] [dir],-p,"A necessary option if you want to create subdirectories as well. Without the -p option, the output is an error if one of the directories in the string does not exist."
File Manipulation,mkdir,"The mkdir command creates a new, empty directory. mkdir also allows users to set permissions, create multiple directories at once, and much more. The tool is handy when setting up a new project structure or when you need to create nested directories to maintain a well-organized file system.",mkdir [options] [dir],-m [mode],"Sets the permissions (mode) for the newly created directory. For [mode], specify the permission mode using the octal representation, like 777, to add read, write, and execute permission for all users."
File Manipulation,rmdir,"The rmdir command removes only empty directories via the terminal. It is useful when you need to clean up the file system by removing empty directories that are no longer needed, which helps maintain a tidy directory structure.",rmdir [options] [dir],-p,It will removes the directory and its parent directories if they are empty.
File Manipulation,rmdir,"The rmdir command removes only empty directories via the terminal. It is useful when you need to clean up the file system by removing empty directories that are no longer needed, which helps maintain a tidy directory structure.",rmdir [options] [dir],-v,It helps in displaying the message for each directory that is removed.
File Manipulation,rmdir,"The rmdir command removes only empty directories via the terminal. It is useful when you need to clean up the file system by removing empty directories that are no longer needed, which helps maintain a tidy directory structure.",rmdir [options] [dir],--ignore-fail-on-non-empty,It prevents the errors if the directory is not empty.
File Manipulation,cp,"The cp command is used to copy files and directories using the CLI. It enables users to duplicate files and directories within the same location or to a different one while preserving their content, permissions, and attributes.",cp [options] [source] [destination],-r,"Enforces recursive mode. It allows the cp command to copy the specified directory and its entire contents, including subdirectories and their contents."
File Manipulation,cp,"The cp command is used to copy files and directories using the CLI. It enables users to duplicate files and directories within the same location or to a different one while preserving their content, permissions, and attributes.",cp [options] [source] [destination],-i,"Enforces the interactive mode, prompting the user for confirmation before overwriting any existing files."
File Manipulation,cp,"The cp command is used to copy files and directories using the CLI. It enables users to duplicate files and directories within the same location or to a different one while preserving their content, permissions, and attributes.",cp [options] [source] [destination],-n,The -n option stands for no clobber and prevents the cp command from overwriting existing files.
File Manipulation,mv,"The mv command allows users to move directories and files within the same file system, effectively changing their path. Additionally, it can also rename files or directories, providing a way to organize and manage data within the file system efficiently.",mv [options] [source] [destination],-i,Enforces the interactive mode and prompts the user for confirmation before overwriting any existing files at the specified [destination].
File Manipulation,mv,"The mv command allows users to move directories and files within the same file system, effectively changing their path. Additionally, it can also rename files or directories, providing a way to organize and manage data within the file system efficiently.",mv [options] [source] [destination],-n,The -n option stands for no clobber and prevents the mv command from overwriting existing files.
Searching and Sorting,find,"The find command searches for files or a specific string of characters in a directory hierarchy. It allows users to search the entire file system or specified directories for files or strings based on factors such as name patterns, file types, sizes, modification times, and more.",find [location] [expression] [options],-name [pattern],"Used to search for files and directories based on their names. Provide a pattern or a complete name as an argument to the -name option, and the find command locates and displays the files or directories that match the specified name."
Searching and Sorting,find,"The find command searches for files or a specific string of characters in a directory hierarchy. It allows users to search the entire file system or specified directories for files or strings based on factors such as name patterns, file types, sizes, modification times, and more.",find [location] [expression] [options],-type [file type],"Filters files based on their type. Provide a single-character argument to the -type option to indicate the type of file you're searching for. For example, f are regular files, d are directories, l are symbolic links, etc."
Searching and Sorting,find,"The find command searches for files or a specific string of characters in a directory hierarchy. It allows users to search the entire file system or specified directories for files or strings based on factors such as name patterns, file types, sizes, modification times, and more.",find [location] [expression] [options],-size [size],"Searches for files based on their size. The command accepts modifiers like c (bytes), k (kilobytes), M (megabytes), etc."
Searching and Sorting,grep,"The grep command searches files for lines that match a given regular expression. It is particularly valuable when analyzing log files, code files, or any text-based data since it helps quickly identify relevant information and extract useful insights from large amounts of text.",grep [options] [search pattern] [file],-i,Ignores case when performing a search.
Searching and Sorting,grep,"The grep command searches files for lines that match a given regular expression. It is particularly valuable when analyzing log files, code files, or any text-based data since it helps quickly identify relevant information and extract useful insights from large amounts of text.",grep [options] [search pattern] [file],-r,"Enforces a recursive search and searches through directories and their subdirectories. With this option, grep searches for the specified pattern in files within the specified directory and all its subdirectories."
Searching and Sorting,grep,"The grep command searches files for lines that match a given regular expression. It is particularly valuable when analyzing log files, code files, or any text-based data since it helps quickly identify relevant information and extract useful insights from large amounts of text.",grep [options] [search pattern] [file],-l,Displays only the file names that contain the specified pattern instead of showing the matching lines within those files.
Searching and Sorting,sort,"The sort command sorts the lines in text files in a specific order, for example, alphabetically or numerically, which facilitates data organizing and analysis. The command is particularly useful when dealing with large datasets, logs, lists, or any text-based information that needs to be presented in a systematic and orderly manner.",sort [options] [file],-n,"Used to sort lines of text based on numerical values. When applied, the sort command interprets the data as numbers and arranges them in ascending order."
Searching and Sorting,sort,"The sort command sorts the lines in text files in a specific order, for example, alphabetically or numerically, which facilitates data organizing and analysis. The command is particularly useful when dealing with large datasets, logs, lists, or any text-based information that needs to be presented in a systematic and orderly manner.",sort [options] [file],-r,"Used to reverse the sorting order, causing sort to arrange the lines in descending order instead of ascending."
Searching and Sorting,sort,"The sort command sorts the lines in text files in a specific order, for example, alphabetically or numerically, which facilitates data organizing and analysis. The command is particularly useful when dealing with large datasets, logs, lists, or any text-based information that needs to be presented in a systematic and orderly manner.",sort [options] [file],-k [argument],"Used to sort the lines based on a specific field within the lines of text. Provide an argument to the -k option in the form of start_field,end_field, where start_field and end_field are the fields you want to use for sorting."
Changing Permissions,chmod,"The chmod command modifies the permissions of files and directories. It allows users to specify the access level that the owner, group, and other users have to a file or directory. The command assigns read, write, and execute permissions using symbolic or octal notation. The tool is particularly useful for securing sensitive data, controlling user access to files, and managing script and program execution.",chmod [options] [mode] [file],-R,"chmod recursive mode, applies the permission changes to the specified file or directory but also to all of its subdirectories and their contents."
Changing Permissions,chmod,"The chmod command modifies the permissions of files and directories. It allows users to specify the access level that the owner, group, and other users have to a file or directory. The command assigns read, write, and execute permissions using symbolic or octal notation. The tool is particularly useful for securing sensitive data, controlling user access to files, and managing script and program execution.",chmod [options] [mode] [file],-v,"The verbose option makes chmod display a message for each file or directory it modifies, showing the permission changes."
Changing Permissions,chown,The chown command changes the ownership of files and directories. It allows users with appropriate permissions to reassign the ownership of a file or directory to a different user or group. The command is useful when system administrators need to transfer files between users or change the ownership of system files. This ensures proper access control and data management in the file system.,chown [options] owner[:group] file,-R,"Recursive mode, applies ownership changes to the specified file or directory but also to all its subdirectories and their contents."
Changing Permissions,chown,The chown command changes the ownership of files and directories. It allows users with appropriate permissions to reassign the ownership of a file or directory to a different user or group. The command is useful when system administrators need to transfer files between users or change the ownership of system files. This ensures proper access control and data management in the file system.,chown [options] owner[:group] file,-v,"The verbose option makes chown display a message for each file or directory it modifies, showing the changes it makes to the ownership."
Archiving and Compression,tar,"The tar command is an archiving tool for creating, extracting, and manipulating archive files called tarballs. It combines multiple files and directories into a single file, preserving their structure and permissions. The command helps create backups, distribute and transfer groups of files efficiently.",tar [options] [archive-file] [file | dir...],-c,Create a new archive.
Archiving and Compression,tar,"The tar command is an archiving tool for creating, extracting, and manipulating archive files called tarballs. It combines multiple files and directories into a single file, preserving their structure and permissions. The command helps create backups, distribute and transfer groups of files efficiently.",tar [options] [archive-file] [file | dir...],-x,Extract from an existing archive.
Archiving and Compression,tar,"The tar command is an archiving tool for creating, extracting, and manipulating archive files called tarballs. It combines multiple files and directories into a single file, preserving their structure and permissions. The command helps create backups, distribute and transfer groups of files efficiently.",tar [options] [archive-file] [file | dir...],-v,Verbose mode. Displays a detailed output while tar is processing files.
Archiving and Compression,tar,"The tar command is an archiving tool for creating, extracting, and manipulating archive files called tarballs. It combines multiple files and directories into a single file, preserving their structure and permissions. The command helps create backups, distribute and transfer groups of files efficiently.",tar [options] [archive-file] [file | dir...],-f [archive-file],"Use the -f option to specify the name of the archive file you're creating or manipulating. For [archive-file], specify the name of the archive you want to work with."
Archiving and Compression,tar,"The tar command is an archiving tool for creating, extracting, and manipulating archive files called tarballs. It combines multiple files and directories into a single file, preserving their structure and permissions. The command helps create backups, distribute and transfer groups of files efficiently.",tar [options] [archive-file] [file | dir...],-z,Enable gzip compression when creating or extracting an archive.
Archiving and Compression,tar,"The tar command is an archiving tool for creating, extracting, and manipulating archive files called tarballs. It combines multiple files and directories into a single file, preserving their structure and permissions. The command helps create backups, distribute and transfer groups of files efficiently.",tar [options] [archive-file] [file | dir...],-j,Enable bzip2 compression when creating or extracting an archive.
Archiving and Compression,gzip,The gzip command is a file compression utility that uses the gzip compression algorithm to reduce the size of files while preserving the content. The command helps you save storage space or accelerate file transfer over networks.,gzip [options] [file...],-d,Decompress a compressed file. Using this option reverses the compression process performed by gzip and restores the original file to its uncompressed state.
Archiving and Compression,gzip,The gzip command is a file compression utility that uses the gzip compression algorithm to reduce the size of files while preserving the content. The command helps you save storage space or accelerate file transfer over networks.,gzip [options] [file...],-k,Use the -k option to retain the original files when performing an operation. It's useful when you want to preserve both the original and processed versions of a file without overwriting the original file.
Archiving and Compression,gunzip,The gunzip command is a utility for decompressing files that have been compressed using the gzip compression algorithm. Use it to restore files to their original uncompressed state. The command is necessary for managing file compression and decompression tasks in Unix-based environments.,gunzip [options] [file...],-k,This option can be used when we want to keep both the file i.e. the uncompressed and the original file after the uncompression.
Archiving and Compression,gunzip,The gunzip command is a utility for decompressing files that have been compressed using the gzip compression algorithm. Use it to restore files to their original uncompressed state. The command is necessary for managing file compression and decompression tasks in Unix-based environments.,gunzip [options] [file...],-f,To decompress a file forcefully.
Archiving and Compression,gunzip,The gunzip command is a utility for decompressing files that have been compressed using the gzip compression algorithm. Use it to restore files to their original uncompressed state. The command is necessary for managing file compression and decompression tasks in Unix-based environments.,gunzip [options] [file...],-l,This option is used to get the information of a compressed or an uncompressed file.
Archiving and Compression,gunzip,The gunzip command is a utility for decompressing files that have been compressed using the gzip compression algorithm. Use it to restore files to their original uncompressed state. The command is necessary for managing file compression and decompression tasks in Unix-based environments.,gunzip [options] [file...],-r,This option is used to uncompress all the files within the folder and subfolder recursively.
Archiving and Compression,gunzip,The gunzip command is a utility for decompressing files that have been compressed using the gzip compression algorithm. Use it to restore files to their original uncompressed state. The command is necessary for managing file compression and decompression tasks in Unix-based environments.,gunzip [options] [file...],-t,To test whether the file is valid or not.
Archiving and Compression,gunzip,The gunzip command is a utility for decompressing files that have been compressed using the gzip compression algorithm. Use it to restore files to their original uncompressed state. The command is necessary for managing file compression and decompression tasks in Unix-based environments.,gunzip [options] [file...],-v,"This option is used to get verbose information such as the file name, decompression percentage, etc."
Archiving and Compression,gunzip,The gunzip command is a utility for decompressing files that have been compressed using the gzip compression algorithm. Use it to restore files to their original uncompressed state. The command is necessary for managing file compression and decompression tasks in Unix-based environments.,gunzip [options] [file...],-d,This option simply decompresses a file.
Archiving and Compression,gunzip,The gunzip command is a utility for decompressing files that have been compressed using the gzip compression algorithm. Use it to restore files to their original uncompressed state. The command is necessary for managing file compression and decompression tasks in Unix-based environments.,gunzip [options] [file...],-n,This option does not save or restore the original name and time stamp while decompressing a file.
Archiving and Compression,gunzip,The gunzip command is a utility for decompressing files that have been compressed using the gzip compression algorithm. Use it to restore files to their original uncompressed state. The command is necessary for managing file compression and decompression tasks in Unix-based environments.,gunzip [options] [file...],-N,This option saves or restore the original name and time stamp while decompression.
Archiving and Compression,gunzip,The gunzip command is a utility for decompressing files that have been compressed using the gzip compression algorithm. Use it to restore files to their original uncompressed state. The command is necessary for managing file compression and decompression tasks in Unix-based environments.,gunzip [options] [file...],-q,This option suppresses all the warnings that arise during the execution of the command.
Archiving and Compression,gunzip,The gunzip command is a utility for decompressing files that have been compressed using the gzip compression algorithm. Use it to restore files to their original uncompressed state. The command is necessary for managing file compression and decompression tasks in Unix-based environments.,gunzip [options] [file...],-s,This option use suffix SUF on compressed files.
Archiving and Compression,gunzip,The gunzip command is a utility for decompressing files that have been compressed using the gzip compression algorithm. Use it to restore files to their original uncompressed state. The command is necessary for managing file compression and decompression tasks in Unix-based environments.,gunzip [options] [file...],-#,"This option is used to control the speed and the amount of compression, where # can be any number between -1 to -9. -1 ensures the faster compression by decreasing the amount of compression while -9 ensures the best compression but takes more time comparatively."
Viewing File and System Details,head,"The head command is a Bash utility that allows users to preview the beginning section of a text file or input stream. Use a filename or input source as an argument to display the first few lines of the content and see a quick overview of the file's structure, formatting, or initial data.",head [options] [file...],-n [num],Show the first [num] number of lines.
Viewing File and System Details,head,"The head command is a Bash utility that allows users to preview the beginning section of a text file or input stream. Use a filename or input source as an argument to display the first few lines of the content and see a quick overview of the file's structure, formatting, or initial data.",head [options] [file...],-c [num],Shows the first [num] bytes of a file.
Viewing File and System Details,tail,"The tail command is a Bash utility used for viewing the ending portion of a text file or input stream. By default, tail displays the last ten lines of a file, but it can be adjusted to show a specified number of lines or bytes from the end of the file. The command is particularly useful for monitoring log files in real time, tracking changes in files, and obtaining the latest updates without having to examine the entire file.",tail [options] [file...],-n [num],Show the last [num] number of lines.
Viewing File and System Details,tail,"The tail command is a Bash utility used for viewing the ending portion of a text file or input stream. By default, tail displays the last ten lines of a file, but it can be adjusted to show a specified number of lines or bytes from the end of the file. The command is particularly useful for monitoring log files in real time, tracking changes in files, and obtaining the latest updates without having to examine the entire file.",tail [options] [file...],-c [num],Shows the last [num] bytes of a file.
Viewing File and System Details,echo,"The echo command is a built-in Bash utility that displays text or variables in the terminal as the standard output. It is useful for generating output messages, displaying variable values, or in Bash scripts.",echo [options] [string],-n,"Instructs echo not to print the trailing newline character after displaying the specified text or variable. By default, echo adds a newline character at the end of the output."
Viewing File and System Details,echo,"The echo command is a built-in Bash utility that displays text or variables in the terminal as the standard output. It is useful for generating output messages, displaying variable values, or in Bash scripts.",echo [options] [string],-e,Enables the interpretation of certain escape sequences within the text or variable being echoed.
Viewing File and System Details,date,"The date command is a Bash utility that prints the system date and time. It also allows users to format and manipulate date and time information. The date command is useful for timestamping files, generating time-sensitive output in scripts, setting system clocks, calculating time intervals, and more.",date [options] [+format],-u,Display UTC (Coordinated Universal Time) instead of the local time.
Viewing File and System Details,date,"The date command is a Bash utility that prints the system date and time. It also allows users to format and manipulate date and time information. The date command is useful for timestamping files, generating time-sensitive output in scripts, setting system clocks, calculating time intervals, and more.",date [options] [+format],-R,Display the date and time in RFC 2822 format.
Viewing File and System Details,df,"The df command is a Bash utility that allows users to check disk space usage on a filesystem basis. When invoked without arguments, df provides a summary of disk space usage across all mounted filesystems.",df [options] [filesystem]Copied!,-h,"Display sizes in a human-readable format (e.g., KB, MB, GB)."
Viewing File and System Details,df,"The df command is a Bash utility that allows users to check disk space usage on a filesystem basis. When invoked without arguments, df provides a summary of disk space usage across all mounted filesystems.",df [options] [filesystem]Copied!,-T,Display the file system type along with other information.
Viewing File and System Details,du,"The du command estimates and displays the disk space usage of files and directories. By default, du provides the space used by the specified files and directories in bytes. It is useful for identifying which files or directories consume the most disk space on a filesystem.",du [options] [file],-h,"Display sizes in a human-readable format (e.g., KB, MB, GB)."
Viewing File and System Details,du,"The du command estimates and displays the disk space usage of files and directories. By default, du provides the space used by the specified files and directories in bytes. It is useful for identifying which files or directories consume the most disk space on a filesystem.",du [options] [file],-s,Display only the total size for each argument (directory or file).
Viewing File and System Details,ps,"The ps command lists processes currently running on the system. By default, it displays a list of processes associated with the current terminal session, including their process IDs (PIDs), resource utilization, and other attributes. Use the tool for monitoring system activity, identifying misbehaving processes, investigating resource consumption, and managing process-related tasks.",ps [options],-e,"Display information about all processes on the system, regardless of whether they are associated with the current terminal session."
Viewing File and System Details,ps,"The ps command lists processes currently running on the system. By default, it displays a list of processes associated with the current terminal session, including their process IDs (PIDs), resource utilization, and other attributes. Use the tool for monitoring system activity, identifying misbehaving processes, investigating resource consumption, and managing process-related tasks.",ps [options],-f,"Change the output format to provide a more detailed and comprehensive view of each process. This includes information on which user started the process, the process ID (PID), the parent process ID (PPID), the CPU and memory usage, the terminal associated with the process, and more."
Control Operations,kill,The kill command is a Bash utility used to terminate processes by sending signals to them. It is useful for stopping misbehaving or unresponsive programs that might otherwise require restarting the system.,kill [options] pid…,-l,Lists available signals and their corresponding numeric values.
Control Operations,kill,The kill command is a Bash utility used to terminate processes by sending signals to them. It is useful for stopping misbehaving or unresponsive programs that might otherwise require restarting the system.,kill [options] pid…,-9,Sends the SIGKILL signal to the target process.
Control Operations,history,"The history command is a Bash utility that displays a list of recently executed commands within a terminal session. It provides a chronological record of command-line inputs, along with their corresponding line numbers.",history [options],-c,"Clears the command history, deleting all previously executed commands from the history list."
Control Operations,history,"The history command is a Bash utility that displays a list of recently executed commands within a terminal session. It provides a chronological record of command-line inputs, along with their corresponding line numbers.",history [options],-w,Writes the current history list to the history file (~/.bash_history by default) and saves any changes made during the session.
Control Operations,history,"The history command is a Bash utility that displays a list of recently executed commands within a terminal session. It provides a chronological record of command-line inputs, along with their corresponding line numbers.",history [options],-[number-of-items],Limit the number of displayed history entries
Control Operations,exit,The exit command is a Bash utility used to end a terminal session or script. Running the command in the command-line interface instructs the shell to terminate the current session or script. The action closes the terminal window or returns control to the parent process.,exit [n],,[n] is an optional argument that specifies the exit status that the shell or script returns after termination.
